,카테고리,위도,경도
343,보안등,37.564136257600005,126.8146696373
344,보안등,37.5639146755,126.8146521896
345,보안등,37.5635520552,126.81444199709999
346,보안등,37.5635234537,126.8147034132
347,보안등,37.563454072,126.8145854196
348,보안등,37.563454072,126.8145854196
349,보안등,37.5634644178,126.8142888484
350,보안등,37.5634644178,126.8142888484
351,보안등,37.5632268766,126.81409238299999
352,보안등,37.563073974299996,126.8139758431
353,보안등,37.5635609422,126.81430649209999
354,보안등,37.563843168000005,126.81432820239999
355,보안등,37.5641695272,126.8141683655
356,보안등,37.5641816684,126.81403975559999
357,보안등,37.5640278541,126.81403063030001
358,보안등,37.5637549793,126.8139966737
359,보안등,37.5635390604,126.8139709516
360,보안등,37.5636924686,126.8134942848
361,보안등,37.5638861914,126.81349991389999
362,보안등,37.5640974906,126.8137382102
363,보안등,37.564269528000004,126.8133625684
364,보안등,37.5645015994,126.81334682239999
365,보안등,37.5642733567,126.8129920993
366,보안등,37.5642733567,126.8129920993
367,보안등,37.5639786097,126.8127448453
368,보안등,37.563841172800004,126.8123822022
369,보안등,37.563628042,126.8121836432
370,보안등,37.5634162948,126.8119488627
371,보안등,37.5633150553,126.8121389285
372,보안등,37.563169579400004,126.8124442139
373,보안등,37.5632088277,126.8126490934
374,보안등,37.5635827767,126.81261499360001
375,보안등,37.5636875077,126.81241031799999
376,보안등,37.5635202444,126.8127265247
377,보안등,37.563630246100004,126.812834002
378,보안등,37.564060006999995,126.8132235325
379,보안등,37.5636774352,126.8131607641
380,보안등,37.5637605004,126.8133844381
381,보안등,37.563440515799996,126.8132444338
382,보안등,37.5633873833,126.813831545
383,보안등,37.563516099299996,126.81380858760001
384,보안등,37.5632293215,126.81364291940001
385,보안등,37.5630909399,126.8137642586
386,보안등,37.5628557247,126.8139005522
387,보안등,37.5631515182,126.8135558477
388,보안등,37.5629449157,126.8133820583
389,보안등,37.5629351869,126.81309844219999
390,보안등,37.5633281927,126.8129794083
391,보안등,37.5631220825,126.8128893757
392,보안등,37.5631813732,126.81277898530001
393,보안등,37.5628473064,126.812906701
394,보안등,37.5628056078,126.8134301696
395,보안등,37.5623587369,126.8132736191
396,보안등,37.562427389,126.81349924940001
397,보안등,37.5623772258,126.8137987453
398,보안등,37.5623772258,126.8137987453
399,보안등,37.5623797006,126.813939766
400,보안등,37.5624260066,126.8141080683
401,보안등,37.5626391056,126.8141167067
402,보안등,37.5624422904,126.8142071768
403,보안등,37.5624341196,126.8143970063
404,보안등,37.5626392648,126.81438970629999
405,보안등,37.5622141423,126.8130554228
406,보안등,37.5620297872,126.8131051181
407,보안등,37.5621308487,126.81354186639999
408,보안등,37.5621308487,126.81354186639999
409,보안등,37.5619433978,126.81322915620001
410,보안등,37.5617044639,126.8132355249
411,보안등,37.5615950145,126.81330608450001
412,보안등,37.561621047399996,126.8129608128
413,보안등,37.5618325783,126.8127759091
414,보안등,37.5618325783,126.8127759091
415,보안등,37.5618325783,126.8127759091
416,보안등,37.5617387788,126.8124883201
417,보안등,37.5617222211,126.812217855
418,보안등,37.561709363,126.8114428123
419,보안등,37.561709363,126.8114428123
420,보안등,37.5616477366,126.8117261505
421,보안등,37.5618563172,126.8118392612
422,보안등,37.5620114554,126.81251061290001
423,보안등,37.5622478836,126.8125150005
424,보안등,37.562542766199996,126.8128474751
425,보안등,37.562542766199996,126.8128474751
426,보안등,37.562542766199996,126.8128474751
427,보안등,37.5627481028,126.8126768455
428,보안등,37.5628224245,126.81255679719999
429,보안등,37.5629768695,126.8122822771
430,보안등,37.56342966,126.8113466834
431,보안등,37.5628302351,126.81202911209999
432,보안등,37.562618336199996,126.8124351829
433,보안등,37.5626940438,126.8125637967
434,보안등,37.562542766199996,126.8128474751
435,보안등,37.5625017539,126.81249602850001
436,보안등,37.562445981799996,126.81232560040002
437,보안등,37.5628302351,126.81202911209999
438,보안등,37.5624870061,126.8121172392
439,보안등,37.5635590821,126.8117099088
440,보안등,37.5637536235,126.811720285
441,보안등,37.5637001794,126.8112594142
442,보안등,37.563579459,126.8111547958
443,보안등,37.563517672399996,126.810999435
444,보안등,37.5634700205,126.8108373608
445,보안등,37.5634471783,126.8106955974
446,보안등,37.564169467,126.8115723225
447,보안등,37.5641370484,126.8118090768
448,보안등,37.5641065747,126.81190954969999
449,보안등,37.5639574136,126.8121633483
450,보안등,37.5639482968,126.8120962519
451,보안등,37.563223116399996,126.8148529953
452,보안등,37.5632127711,126.8104346201
453,보안등,37.5632127711,126.8104346201
454,보안등,37.563019815,126.8103454668
455,보안등,37.5626871447,126.81021909110001
456,보안등,37.562552295500005,126.8101816297
457,보안등,37.5628821481,126.8102926191
458,보안등,37.562552295500005,126.8101816297
459,보안등,37.562552295500005,126.8101816297
460,보안등,37.562805727,126.80972236379999
461,보안등,37.5626859711,126.8096021273
462,보안등,37.5624491911,126.8098267206
463,보안등,37.5622152385,126.8092903731
464,보안등,37.5622266498,126.8098854625
465,보안등,37.561976369499995,126.8097836678
466,보안등,37.561830049,126.8098962041
467,보안등,37.5620278499,126.8099723265
468,보안등,37.5621546115,126.8100230502
